date,y
9/12/2016,1409.987
9/13/2016,1446.824
9/14/2016,1442.332
9/15/2016,1436.421
9/16/2016,1397.158
9/17/2016,1179.558
9/18/2016,1087.556
9/19/2016,1389.524
9/20/2016,1410.447
9/21/2016,1407.202
9/22/2016,1401.531
9/23/2016,1383.836
9/24/2016,1160.873
9/25/2016,1074.47
9/26/2016,1394.293
9/27/2016,1422.983
9/28/2016,1435.492
9/29/2016,1436.797
9/30/2016,1403.626
10/1/2016,1175.987
10/2/2016,1081.683
10/3/2016,1105.195
10/4/2016,1422.066
10/5/2016,1455.863
10/6/2016,1489.808
10/7/2016,1452.49
10/8/2016,1233.154
10/9/2016,1143.149
10/10/2016,1456.039
10/11/2016,1494.224
10/12/2016,1495.956
10/13/2016,1503.571
10/14/2016,1477.953
10/15/2016,1243.613
10/16/2016,1136.267
10/17/2016,1461.414
10/18/2016,1489.622
10/19/2016,1503.565
10/20/2016,1506.204
10/21/2016,1479.348
10/22/2016,1247.09
10/23/2016,1154.998
10/24/2016,1482.911
10/25/2016,1499.188
10/26/2016,1495.441
10/27/2016,1495.821
10/28/2016,1480.316
10/29/2016,1243.55
10/30/2016,1141.624
10/31/2016,1331.536
11/1/2016,1301.873
11/2/2016,1519.388
11/3/2016,1532.05
11/4/2016,1509.537
11/5/2016,1299.408
11/6/2016,1204.939
11/7/2016,1529.163
11/8/2016,1571.629
11/9/2016,1577.031
11/10/2016,1577.657
11/11/2016,1568.043
11/12/2016,1343.044
11/13/2016,1252.972
11/14/2016,1564.09
11/15/2016,1604.101
11/16/2016,1574.039
11/17/2016,1564.308
11/18/2016,1544.541
11/19/2016,1334.341
11/20/2016,1233.973
11/21/2016,1533.053
11/22/2016,1552.999
11/23/2016,1546.154
11/24/2016,1565.587
11/25/2016,1544.217
11/26/2016,1336.736
11/27/2016,1236.953
11/28/2016,1573.721
11/29/2016,1628.617
11/30/2016,1638.339
12/1/2016,1631.279
12/2/2016,1585.45
12/3/2016,1371.141
12/4/2016,1299.91
12/5/2016,1614.383
12/6/2016,1650.038
12/7/2016,1671.129
12/8/2016,1632.362
12/9/2016,1591.42
12/10/2016,1345.308
12/11/2016,1267.997
12/12/2016,1569.869
12/13/2016,1602.297
12/14/2016,1595.293
12/15/2016,1601.397
12/16/2016,1567.488
12/17/2016,1365.579
12/18/2016,1266.495
12/19/2016,1542.018
12/20/2016,1572.427
12/21/2016,1567.399
12/22/2016,1512.661
12/23/2016,1415.811
12/24/2016,1195.354
12/25/2016,1117.673
12/26/2016,1121.213
12/27/2016,1289.324
12/28/2016,1294.881
12/29/2016,1295.897
12/30/2016,1291.044
12/31/2016,1212.568
1/1/2017,1130.413
1/2/2017,1441.052
1/3/2017,1529.99
1/4/2017,1553.083
1/5/2017,1547.238
1/6/2017,1501.795
1/7/2017,1405.145
1/8/2017,1301.011
1/9/2017,1604.348
1/10/2017,1639.046
1/11/2017,1654.809
1/12/2017,1620.597
1/13/2017,1608.895
1/14/2017,1392.736
1/15/2017,1289.904
1/16/2017,1605.465
1/17/2017,1649.104
1/18/2017,1669.395
1/19/2017,1667.477
1/20/2017,1641.737
1/21/2017,1423.02
1/22/2017,1340.341
1/23/2017,1663.492
1/24/2017,1682.002
1/25/2017,1674.171
1/26/2017,1659.527
1/27/2017,1629.164
1/28/2017,1394.033
1/29/2017,1296.17
1/30/2017,1605.356
1/31/2017,1620.86
2/1/2017,1627.965
2/2/2017,1604.12
2/3/2017,1574.576
2/4/2017,1344.391
2/5/2017,1238.879
2/6/2017,1574.502
2/7/2017,1621.574
2/8/2017,1625.415
2/9/2017,1637.74
2/10/2017,1622.785
2/11/2017,1386.709
2/12/2017,1293.212
2/13/2017,1597.275
2/14/2017,1593.56
2/15/2017,1579.457
2/16/2017,1576.044
2/17/2017,1556.106
2/18/2017,1327.272
2/19/2017,1245.979
2/20/2017,1563.139
2/21/2017,1566.902
2/22/2017,1584.343
2/23/2017,1561.235
2/24/2017,1539.603
2/25/2017,1319.075
2/26/2017,1208.725
2/27/2017,1467.695
2/28/2017,1532.536
3/1/2017,1551.41
3/2/2017,1541.733
3/3/2017,1514.114
3/4/2017,1265.589
3/5/2017,1185.541
3/6/2017,1519.85
3/7/2017,1554.86
3/8/2017,1565.245
3/9/2017,1545.066
3/10/2017,1496.809
3/11/2017,1265.416
3/12/2017,1170.7
3/13/2017,1478.837
3/14/2017,1508.366
3/15/2017,1497.831
3/16/2017,1485.207
3/17/2017,1477.5
3/18/2017,1294.453
3/19/2017,1180.593
3/20/2017,1476.082
3/21/2017,1510.116
3/22/2017,1511.842
3/23/2017,1498.325
3/24/2017,1467.528
3/25/2017,1234.089
3/26/2017,1126.869
3/27/2017,1429.636
3/28/2017,1445.382
3/29/2017,1455.418
3/30/2017,1439.171
3/31/2017,1402.585
4/1/2017,1186.056
4/2/2017,1096.921
4/3/2017,1407.901
4/4/2017,1426.521
4/5/2017,1456.718
4/6/2017,1463.906
4/7/2017,1450.322
4/8/2017,1202.753
4/9/2017,1106.114
4/10/2017,1430.915
4/11/2017,1451.163
4/12/2017,1455.273
4/13/2017,1420.099
4/14/2017,1130.276
4/15/2017,1154.583
4/16/2017,1048.707
4/17/2017,1086.456
4/18/2017,1432.359
4/19/2017,1476.37
4/20/2017,1472.599
4/21/2017,1458.738
4/22/2017,1254.143
4/23/2017,1156.946
4/24/2017,1448.633
4/25/2017,1482.644
4/26/2017,1488.591
4/27/2017,1485.878
4/28/2017,1452.533
4/29/2017,1209.53
4/30/2017,1091.063
5/1/2017,1103.225
5/2/2017,1452.669
5/3/2017,1471.946
5/4/2017,1487.176
5/5/2017,1446.117
5/6/2017,1199.384
5/7/2017,1113.129
5/8/2017,1442.223
5/9/2017,1434.6
5/10/2017,1425.515
5/11/2017,1419.331
5/12/2017,1406.466
5/13/2017,1171.82
5/14/2017,1071.069
5/15/2017,1387.278
5/16/2017,1421.664
5/17/2017,1426.872
5/18/2017,1429.989
5/19/2017,1416.083
5/20/2017,1171.156
5/21/2017,1070.711
5/22/2017,1383.231
5/23/2017,1419.738
5/24/2017,1397.888
5/25/2017,1094.2
5/26/2017,1229.704
5/27/2017,1140.566
5/28/2017,1079.39
5/29/2017,1414.019
5/30/2017,1450.411
5/31/2017,1437.944
6/1/2017,1407.461
6/2/2017,1392.361
6/3/2017,1162.876
6/4/2017,1016.024
6/5/2017,1028.159
6/6/2017,1367.605
6/7/2017,1401.233
6/8/2017,1388.365
6/9/2017,1380.886
6/10/2017,1149.633
6/11/2017,1067.459
6/12/2017,1393.638
6/13/2017,1400.213
6/14/2017,1369.96
6/15/2017,1204.597
6/16/2017,1302.817
6/17/2017,1139.368
6/18/2017,1065.075
6/19/2017,1394.063
6/20/2017,1440.547
6/21/2017,1434.325
6/22/2017,1459.289
6/23/2017,1425.38
6/24/2017,1184.272
6/25/2017,1086.637
6/26/2017,1399.3
6/27/2017,1417.749
6/28/2017,1431.5
6/29/2017,1411.06
6/30/2017,1383.979
