Year,Month,Day,Hour,Week,Consumption
2022,1,10,19,2,13571.335
2022,1,10,20,2,13585.008
2022,1,10,21,2,13372.675
2022,1,10,22,2,13004.589
2022,1,10,23,2,13135.654
2022,1,10,24,2,12999.151
2022,1,11,1,2,12621.713
2022,1,11,2,2,12340.668
2022,1,11,3,2,12172.527
2022,1,11,4,2,12169.315
2022,1,11,5,2,12276.823
2022,1,11,6,2,12611.062
2022,1,11,7,2,13488.138
2022,1,11,8,2,13845.273
2022,1,11,9,2,14034.57
2022,1,11,10,2,13867.281
2022,1,11,11,2,13767.503
2022,1,11,12,2,13779.137
2022,1,11,13,2,13631.987
2022,1,11,14,2,13466.957
2022,1,11,15,2,13305.391
2022,1,11,16,2,13272.263
2022,1,11,17,2,13436.016
2022,1,11,18,2,13416.493
2022,1,11,19,2,13295.684
2022,1,11,20,2,13207.48
2022,1,11,21,2,12840.687
2022,1,11,22,2,12269.444
2022,1,11,23,2,12256.024
2022,1,11,24,2,11919.612
2022,1,12,1,2,11424.025
2022,1,12,2,2,11122.607
2022,1,12,3,2,10909.639
2022,1,12,4,2,10837.137
2022,1,12,5,2,10826.041
2022,1,12,6,2,11060.367
2022,1,12,7,2,11803.527
2022,1,12,8,2,12164.682
2022,1,12,9,2,12373.862
2022,1,12,10,2,12223.111
2022,1,12,11,2,12135.438
2022,1,12,12,2,12120.69
2022,1,12,13,2,12153.292
2022,1,12,14,2,12061.458
2022,1,12,15,2,11941.469
2022,1,12,16,2,11956.727
2022,1,12,17,2,12133.788
2022,1,12,18,2,12168.557
2022,1,12,19,2,12133.696
2022,1,12,20,2,12100.979
2022,1,12,21,2,11831.573
2022,1,12,22,2,11197.853
2022,1,12,23,2,11194.331
2022,1,12,24,2,10932.032
2022,1,13,1,2,10441.701
2022,1,13,2,2,10100.424
2022,1,13,3,2,9861.783
2022,1,13,4,2,9823.005
2022,1,13,5,2,9860.421
2022,1,13,6,2,10119.107
2022,1,13,7,2,10924.715
2022,1,13,8,2,11353.853
2022,1,13,9,2,11585.098
2022,1,13,10,2,11470.38
2022,1,13,11,2,11435.473
2022,1,13,12,2,11440.376
2022,1,13,13,2,11393.821
2022,1,13,14,2,11276.3
2022,1,13,15,2,11233.535
2022,1,13,16,2,11294.032
2022,1,13,17,2,11483.507
2022,1,13,18,2,11554.042
2022,1,13,19,2,11486.577
2022,1,13,20,2,11460.29
2022,1,13,21,2,11170.177
2022,1,13,22,2,10663.173
2022,1,13,23,2,10734.073
2022,1,13,24,2,10514.767
2022,1,14,1,2,10034.857
2022,1,14,2,2,9717.216
2022,1,14,3,2,9563.068
2022,1,14,4,2,9530.931
2022,1,14,5,2,9676.572
2022,1,14,6,2,10051.065
2022,1,14,7,2,10859.893
2022,1,14,8,2,11443.137
2022,1,14,9,2,11788.831
2022,1,14,10,2,11770.038
2022,1,14,11,2,11657.841
2022,1,14,12,2,11653.586
